image;color;element;style
1.jpg;pink, white;sparkles, butterfly, flower, triangle french;cute
2.jpg;beige, black, white;french, crystals, text, leopard, cross, dots, spikes;bold
3.jpg;white, blue;french, flowers;cute
4.jpg;beige, black, red;french, text;cute
5.jpg;white, brown;vague;cute
6.jpg;pink, white;french, leopard, belt, charms, sparkles;cute, bold
7.jpg;beige, black, red;belts;bold
8.jpg;grey, black;french;goth
9.jpg;white;french, cross, text, spikes, charms;goth
10.jpg;beige, red;french, lights, ;cute
11.jpg;white;sparkles, deer;holiday
12.jpg;white, beige;sparkles, snowflake;holiday
13.jpg;white, black;star;goth
14.jpg;grey ;cat eye sparkle;cute
15.jpg;pink ;leopard;cute
16.jpg;orange;cat eye flower, cat eye sparkle;cute
17.jpg;white;plaid;bold
18.jpg;beige;french;cute
19.jpg;pink;powder;cute
